Group,Person,Paddock,Cover
1,1,1,1135
1,1,2,1198
1,1,3,2367
1,1,4,2157
1,1,5,2801
1,1,6,1695
1,1,7,1219
1,1,8,1254
1,2,1,1016
1,2,2,1226
1,2,3,2528
1,2,4,2612
1,2,5,3137
1,2,6,2241
1,2,7,1275
1,2,8,1492
1,3,1,939
1,3,2,1107
1,3,3,2220
1,3,4,2465
1,3,5,2836
1,3,6,1789
1,3,7,1254
1,3,8,1282
1,4,1,1107
1,4,2,1282
1,4,3,2360
1,4,4,2500
1,4,5,2689
1,4,6,1933
1,4,7,1282
1,4,8,1240
6,5,1,1478
6,5,2,1922
6,5,3,1569
6,5,4,2052
6,5,5,1520
6,5,6,1702
6,5,7,2990
6,5,8,862
6,6,1,1121
6,6,2,1978
6,6,3,2799
6,6,4,2695
6,6,5,2612
6,6,6,1821
6,6,7,1199
6,6,8,1457
6,7,1,1212
6,7,2,1608
6,7,3,2920
6,7,4,2618
6,7,5,2690
6,7,6,1889
6,7,7,1296
6,7,8,1915
10,8,1,1002
10,8,2,1023
10,8,3,2444
10,8,4,2304
10,8,5,2843
10,8,6,1625
10,8,7,1156
10,8,8,1198
10,9,1,1198
10,9,2,1422
10,9,3,2353
10,9,4,2458
10,9,5,2507
10,9,6,1947
10,9,7,1408
10,9,8,1660
10,10,1,1044
10,10,2,1044
10,10,3,2283
10,10,4,2304
10,10,5,2451
10,10,6,1639
10,10,7,1331
10,10,8,1177
10,11,1,1128
10,11,2,1345
10,11,3,2409
10,11,4,2374
10,11,5,2640
10,11,6,1597
10,11,7,1408
10,11,8,1324
11,12,1,1485
11,12,2,1401
11,12,3,1478
11,12,4,1422
11,12,5,1590
11,12,6,2542
11,12,7,932
11,12,8,1550
11,13,1,1198
11,13,2,1457
11,13,3,3284
11,13,4,2976
11,13,5,3459
11,13,6,2248
11,13,7,1352
11,13,8,1611
11,14,1,1142
11,14,2,1752
11,14,3,2945
11,14,4,2997
11,14,5,3270
11,14,6,2017
11,14,7,1275
11,14,8,1415
11,15,1,1149
11,15,2,1303
11,15,3,2878
11,15,4,3109
11,15,5,3354
11,15,6,1793
11,15,7,1303
11,15,8,1611
16,16,1,946
16,16,2,946
16,16,3,2444
16,16,4,2269
16,16,5,2332
16,16,6,1646
16,16,7,1597
16,16,8,1317
16,17,1,1093
16,17,2,1093
16,17,3,2024
16,17,4,2766
16,17,5,3186
16,17,6,1814
16,17,7,1247
16,17,8,1499
19,18,1,1289
19,18,2,1422
19,18,3,2626
19,18,4,2773
19,18,5,2325
19,18,6,1744
19,18,7,1275
19,18,8,1541
21,19,1,1814
21,19,2,1436
21,19,3,2458
21,19,4,3270
21,19,5,2598
21,19,6,1912
21,19,7,1506
21,19,8,1450
21,20,1,1233
21,20,2,1415
21,20,3,2647
21,20,4,2731
21,20,5,3004
21,20,6,1807
21,20,7,1345
21,20,8,1373
21,21,1,1219
21,21,2,1310
21,21,3,2507
21,21,4,2836
21,21,5,3053
21,21,6,1968
21,21,7,1436
21,21,8,1422
21,22,1,1240
21,22,2,1408
21,22,3,2220
21,22,4,3410
21,22,5,2920
21,22,6,1968
21,22,7,1520
21,22,8,1506
24,23,1,1205
24,23,2,1366
24,23,3,2661
24,23,4,2675
24,23,5,3291
24,23,6,2150
24,23,7,1534
24,23,8,1653
24,24,1,1548
24,24,2,1702
24,24,3,2815
24,24,4,2612
24,24,5,2548
24,24,6,1667
24,24,7,1975
24,24,8,1940
24,25,1,1184
24,25,2,1422
24,25,3,2437
24,25,4,3116
24,25,5,2528
24,25,6,2024
24,25,7,1359
24,25,8,2164
28,26,1,1275
28,26,2,1618
28,26,3,2612
28,26,4,3081
28,26,5,2934
28,26,6,2017
28,26,7,1751
28,26,8,1583
28,27,1,1240
28,27,2,1555
28,27,3,2612
28,27,4,2647
28,27,5,2367
28,27,6,1702
28,27,7,1443
28,27,8,1576
28,28,1,1380
28,28,2,1513
28,28,3,2332
28,28,4,2444
28,28,5,4397
28,28,6,2171
28,28,7,1289
28,28,8,1394
28,29,1,1170
28,29,2,1394
28,29,3,2521
28,29,4,2458
28,29,5,2349
28,29,6,1590
28,29,7,1156
28,29,8,1324
32,30,1,1590
32,30,2,1422
32,30,3,1842
32,30,4,2976
32,30,5,2640
32,30,6,2262
32,30,7,1434
32,30,8,1296
32,31,1,1590
32,31,2,1485
32,31,3,2038
32,31,4,2570
32,31,5,2507
32,31,6,2346
32,31,7,1359
32,31,8,1401
32,32,1,1443
32,32,2,1268
32,32,3,1828
32,32,4,2122
32,32,5,2339
32,32,6,2458
32,32,7,1338
32,32,8,1254
