"farm","paddock","person","metread"
"A","A","A1",10.11999989
"A","B","A1",14.85999966
"A","C","A1",10.03999996
"A","D","A1",9.720000267
"A","E","A1",9.319999695
"A","F","A2",15.64000034
"A","G","A2",8.800000191
"A","H","A2",7.440000057
"B","I","A3",5.320000172
"B","J","A3",6.880000114
"B","K","A3",10.07999992
"B","L","A3",12.52000046
"B","M","A4",16.60000038
"B","N","A4",14.96000004
"B","O","A4",15.88000011
"B","P","A1",13.31999969
"C","Q","A1",11.60000019
"C","R","A1",12.07999973
"C","S","A3",12.83999996
"C","T","A3",12.60000019
"C","U","A4",10.07999973
"C","V","A4",12.56000023
"C","W","A2",12.15999966
"C","X","A2",15.95999985
"A","A","B5",13.88000011
"A","B","B5",12.07999992
"A","C","B5",13.96000004
"A","D","B5",13.15999985
"A","E","B5",13.23999977
"A","F","B5",14
"A","H","B5",8.840000153
"B","I","B6",7.639999866
"B","K","B6",13.60000038
"B","L","B6",13.76000023
"B","M","B6",12.03999996
"B","N","B6",10.03999996
"B","O","B6",11.80000019
"B","P","B5",11.60000038
"C","Q","B7",9.03999977
"C","R","B7",10.87999992
"C","S","B7",10.23999958
"C","T","B7",8.87999992
"C","U","B7",8.11999969
"C","V","B7",10.40000038
"C","W","B7",8.48000031
"C","X","B7",11.52000027
"A","A","C5",13.43999958
"A","B","C5",12.35999966
"A","C","C5",12.52000046
"A","D","C5",13.72000027
"A","E","C5",11.71000004
"A","F","C5",16.63999939
"A","G","C5",9.760000229
"A","H","C5",9.43999958
"B","I","C6",8.56000042
"B","J","C6",8.199999809
"B","K","C6",12.43999958
"B","L","C6",11.03999996
"B","M","C6",13.15999985
"B","N","C6",8.680000305
"B","P","C5",12.31999969
"C","Q","C7",11.23999958
"C","R","C7",9.600000191
"C","S","C7",11.27999954
"C","T","C7",10.72000008
"C","U","C7",14.03999977
"C","V","C7",12.52000027
"C","W","C7",6.439999866
"C","X","C7",12.8
"A","A","D8",12.52000046
"A","B","D9",13.68000031
"A","C","D9",16.68000031
"A","D","D1",14.47999954
"A","E","D11",11.07999992
"A","F","D8",12.72000027
"A","G","D11",10.35999966
"A","H","D9",8.479999542
"B","I","D9",7.800000191
"B","J","D1",7.639999866
"B","K","D1",14.15999985
"B","L","D11",12.68000031
"B","M","D9",16.15999985
"B","N","D8",9.920000076
"B","O","D11",13.56000042
"B","P","D9",8.399999619
"C","Q","D8",11.22000008
"C","R","D9",11.95999985
"C","S","D11",10.32000046
"C","T","D1",13.56000023
"C","U","D8",10.87999992
"C","V","D9",13.27999954
"C","W","D1",12.91999989
"C","X","D11",14.76000004
"A","A","E12",9.359999657
"A","B","E13",12.96000004
"A","D","E15",12.56000042
"A","E","E12",10.39999962
"A","F","E13",14.23999977
"A","G","E14",10.64000034
"A","H","E15",7.239999771
"B","I","E15",10.47999954
"B","J","E14",7.679999828
"B","K","E13",14.27999973
"B","L","E12",14.47999954
"B","M","E15",12.23999977
"B","N","E14",10.07999992
"B","O","E13",12.56000042
"B","P","E12",11.15999985
"C","Q","E15",14.8
"C","R","E12",13.27999954
"C","S","E15",13.44000034
"C","T","E13",11.23999958
"C","U","E14",12.15999966
"C","V","E12",14.99999981
"C","W","E14",11.07999973
"C","X","E13",12.07999973
"A","A","F16",9.359999657
"A","B","F16",12.96000004
"A","C","F16",19.15999985
"A","D","F16",12.56000042
"A","E","F16",10.39999962
"A","F","F16",14.23999977
"A","G","F16",10.64000034
"A","H","F16",7.159999847
"B","I","F16",10.47999954
"B","J","F16",8.479999542
"B","K","F16",14.27999973
"B","L","F16",14.47999954
"B","M","F16",12.23999977
"B","N","F16",10.07999992
"B","O","F16",12.56000042
"B","P","F16",11.15999985
"C","Q","F16",14.22000008
"C","R","F16",13.11999969
"C","S","F16",13.44000034
"C","T","F16",11.23999958
"C","U","F16",12.15999966
"C","V","F16",14.99999981
"C","W","F16",11.11999969
"C","X","F16",11.99999981
"A","A","G17",16.52000046
"A","B","G17",18.15999985
"A","C","G17",17.39999962
"A","D","G17",17.31999969
"A","E","G17",12.88000011
"A","F","G17",17.04000092
"A","G","G17",10.89000034
"A","H","G17",9.640000343
"B","I","G17",9.720000267
"B","J","G17",10.96000004
"B","K","G17",18.04000092
"B","L","G17",12.76000023
"B","M","G17",16.68000031
"B","N","G17",13.60000038
"B","O","G17",12.96000004
"B","P","G17",13.03999996
"C","Q","G17",13.23999958
"C","R","G17",14.68000011
"C","S","G17",14.40000038
"C","T","G17",14.40000038
"C","U","G17",14.11999969
"C","V","G17",16.43999939
"C","W","G17",18.35999947
"C","X","G17",19.56000023
"A","A","H18",15.96000004
"A","B","H18",19.84000015
"A","C","H18",17.79999924
"A","D","H18",19.11000061
"A","E","H19",13.15999985
"A","F","H2",19.36000061
"A","G","H2",13.64000034
"A","H","H2",11.84000015
"B","I","H2",8.239999771
"B","J","H2",10.71000004
"B","K","H2",14.80000019
"B","L","H2",11.27999973
"B","M","H19",17.07999992
"B","N","H19",17
